
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.068340764   0.9733265    0.15616987
0.068463238   0.97326991    0.1566313
0.068585713   0.97321327    0.15709295
0.068708187   0.97315659    0.15755483
0.068830662   0.97309987    0.15801693
0.068953136   0.97304311    0.15847924
0.069075611   0.9729863    0.15894178
0.069198085   0.97292944    0.15940453
0.06932056   0.97287255    0.15986749
0.069443034   0.97281561    0.16033066
0.069565509   0.97275863    0.16079404
0.069687983   0.9727016    0.16125762
0.069810458   0.97264453    0.1617214
0.069932932   0.97258742    0.16218539
0.070055407   0.97253026    0.16264957
0.070177881   0.97247306    0.16311394
0.070300356   0.97241582    0.16357851
0.07042283   0.97235853    0.16404326
0.070545305   0.9723012    0.16450821
0.070667779   0.97224383    0.16497333
0.070790254   0.97218642    0.16543864
0.070912728   0.97212896    0.16590413
0.071035203   0.97207146    0.1663698
0.071157677   0.97201391    0.16683564
0.071280152   0.97195632    0.16730166
0.071402626   0.97189869    0.16776784
0.0715251   0.97184102    0.16823419
0.071647575   0.9717833    0.16870071
0.071770049   0.97172554    0.16916739
0.071892524   0.97166774    0.16963423
0.072014998   0.9716099    0.17010122
0.072137473   0.97155201    0.17056837
0.072259947   0.97149408    0.17103568
0.072382422   0.97143611    0.17150313
0.072504896   0.97137809    0.17197073
0.072627371   0.97132003    0.17243848
0.072749845   0.97126193    0.17290637
0.07287232   0.97120379    0.1733744
0.072994794   0.97114561    0.17384257
0.073117269   0.97108738    0.17431088
0.073239743   0.97102911    0.17477931
0.073362218   0.9709708    0.17524788
0.073484692   0.97091244    0.17571658
0.073607167   0.97085404    0.1761854
0.073729641   0.9707956    0.17665434
0.073852116   0.97073712    0.17712341
0.07397459   0.9706786    0.17759259
0.074097065   0.97062004    0.17806189
0.074219539   0.97056143    0.17853131
0.074342014   0.97050278    0.17900083
0.074464488   0.97044409    0.17947047
0.074586963   0.97038536    0.17994021
0.074709437   0.97032658    0.18041005
0.074831912   0.97026776    0.18088
0.074954386   0.97020891    0.18135004
0.075076861   0.97015001    0.18182018
0.075199335   0.97009107    0.18229042
0.07532181   0.97003208    0.18276075
0.075444284   0.96997306    0.18323116
0.075566759   0.969914    0.18370167
0.075689233   0.96985489    0.18417226
0.075811708   0.96979574    0.18464293
0.075934182   0.96973655    0.18511368
0.076056657   0.96967732    0.1855845
0.076179131   0.96961805    0.18605541
0.076301605   0.96955874    0.18652638
0.07642408   0.96949939    0.18699743
0.076546554   0.96944    0.18746854
0.076669029   0.96938056    0.18793972
0.076791503   0.96932109    0.18841097
0.076913978   0.96926157    0.18888227
0.077036452   0.96920202    0.18935363
0.077158927   0.96914242    0.18982505
0.077281401   0.96908278    0.19029652
0.077403876   0.9690231    0.19076804
0.07752635   0.96896339    0.19123961
0.077648825   0.96890363    0.19171123
0.077771299   0.96884383    0.19218289
0.077893774   0.96878399    0.19265459
0.078016248   0.96872412    0.19312634
0.078138723   0.9686642    0.19359812
0.078261197   0.96860424    0.19406993
0.078383672   0.96854424    0.19454178
0.078506146   0.96848421    0.19501365
0.078628621   0.96842413    0.19548556
0.078751095   0.96836401    0.19595749
0.07887357   0.96830386    0.19642944
0.078996044   0.96824366    0.19690141
0.079118519   0.96818343    0.1973734
0.079240993   0.96812316    0.19784541
0.079363468   0.96806284    0.19831743
0.079485942   0.96800249    0.19878946
0.079608417   0.9679421    0.1992615
0.079730891   0.96788167    0.19973355
0.079853366   0.9678212    0.2002056
0.07997584   0.9677607    0.20067765
0.080098315   0.96770015    0.2011497
0.080220789   0.96763957    0.20162175
0.080343264   0.96757895    0.2020938
0.080465738   0.96751829    0.20256584
0.080588213   0.96745759    0.20303786
0.080710687   0.96739685    0.20350988
0.080833162   0.96733607    0.20398188
0.080955636   0.96727526    0.20445387
0.08107811   0.96721441    0.20492583
0.081200585   0.96715352    0.20539778
0.081323059   0.9670926    0.2058697
0.081445534   0.96703163    0.20634159
0.081568008   0.96697063    0.20681346
0.081690483   0.96690959    0.2072853
0.081812957   0.96684852    0.2077571
0.081935432   0.9667874    0.20822887
0.082057906   0.96672625    0.2087006
0.082180381   0.96666506    0.20917229
0.082302855   0.96660384    0.20964394
0.08242533   0.96654258    0.21011555
0.082547804   0.96648128    0.21058711
0.082670279   0.96641994    0.21105862
0.082792753   0.96635857    0.21153008
0.082915228   0.96629717    0.21200149
0.083037702   0.96623572    0.21247285
0.083160177   0.96617424    0.21294414
0.083282651   0.96611273    0.21341538
0.083405126   0.96605117    0.21388655
0.0835276   0.96598958    0.21435766
0.083650075   0.96592796    0.2148287
0.083772549   0.9658663    0.21529968
0.083895024   0.96580461    0.21577058
0.084017498   0.96574287    0.21624141
0.084139973   0.96568111    0.21671216
0.084262447   0.96561931    0.21718284
0.084384922   0.96555747    0.21765344
0.084507396   0.9654956    0.21812395
0.084629871   0.96543369    0.21859438
0.084752345   0.96537175    0.21906472
0.08487482   0.96530977    0.21953498
0.084997294   0.96524776    0.22000514
0.085119769   0.96518572    0.22047521
0.085242243   0.96512364    0.22094519
0.085364718   0.96506152    0.22141507
0.085487192   0.96499938    0.22188485
0.085609667   0.96493719    0.22235452
0.085732141   0.96487498    0.2228241
0.085854615   0.96481273    0.22329356
0.08597709   0.96475045    0.22376292
0.086099564   0.96468813    0.22423217
0.086222039   0.96462578    0.2247013
0.086344513   0.96456339    0.22517032
0.086466988   0.96450098    0.22563922
0.086589462   0.96443853    0.22610801
0.086711937   0.96437604    0.22657667
0.086834411   0.96431353    0.22704521
0.086956886   0.96425098    0.22751362
0.08707936   0.9641884    0.2279819
0.087201835   0.96412578    0.22845006
0.087324309   0.96406314    0.22891808
0.087446784   0.96400046    0.22938597
0.087569258   0.96393775    0.22985372
0.087691733   0.96387501    0.23032134
0.087814207   0.96381223    0.23078881
0.087936682   0.96374943    0.23125614
0.088059156   0.96368659    0.23172332
0.088181631   0.96362372    0.23219036
0.088304105   0.96356082    0.23265725
0.08842658   0.96349789    0.23312399
0.088549054   0.96343492    0.23359057
0.088671529   0.96337193    0.234057
0.088794003   0.9633089    0.23452328
0.088916478   0.96324585    0.23498939
0.089038952   0.96318276    0.23545534
0.089161427   0.96311965    0.23592113
0.089283901   0.9630565    0.23638675
0.089406376   0.96299332    0.2368522
0.08952885   0.96293012    0.23731748
0.089651325   0.96286688    0.2377826
0.089773799   0.96280361    0.23824753
0.089896274   0.96274032    0.23871229
