
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1.0000093
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.053398624   0.97990608    0.10235322
0.053521097   0.97985435    0.10276823
0.053643569   0.97980297    0.10318373
0.053766042   0.97975135    0.1035998
0.053888515   0.97970015    0.10401639
0.054010987   0.97964847    0.10443347
0.054133464   0.97959661    0.10485112
0.054255936   0.97954535    0.10526927
0.054378409   0.9794935    0.10568793
0.054500882   0.97944206    0.1061071
0.054623354   0.97939026    0.10652677
0.054745827   0.97933841    0.106947
0.0548683   0.97928673    0.10736766
0.054990772   0.97923416    0.10778889
0.055113245   0.97918248    0.10821059
0.055235717   0.97913063    0.1086328
0.05535819   0.97907877    0.10905555
0.055480663   0.97902679    0.1094787
0.055603135   0.97897494    0.10990243
0.055725608   0.97892255    0.11032659
0.055848084   0.97887045    0.11075125
0.055970557   0.97881836    0.1111764
0.05609303   0.97876638    0.11160202
0.056215502   0.97871369    0.11202814
0.056337975   0.97866195    0.11245472
0.056460448   0.97860879    0.11288179
0.05658292   0.97855675    0.11330934
0.056705393   0.97850388    0.11373731
0.056827866   0.97845149    0.11416581
0.056950338   0.97839868    0.11459477
0.057072811   0.97834659    0.11502413
0.057195283   0.97829401    0.11545399
0.057317756   0.97824156    0.11588431
0.057440229   0.97818893    0.11631509
0.057562705   0.9781363    0.1167463
0.057685178   0.97808284    0.11717796
0.05780765   0.97803044    0.11761008
0.057930123   0.97797704    0.11804268
0.058052596   0.97792453    0.11847565
0.058175068   0.9778716    0.11890912
0.058297541   0.97781897    0.11934298
0.058420014   0.97776562    0.11977728
0.058542486   0.97771275    0.12021202
0.058664959   0.97765946    0.12064721
0.058787432   0.97760624    0.12108283
0.058909904   0.97755271    0.12151883
0.059032377   0.97750002    0.12195529
0.059154849   0.97744626    0.12239217
0.059277326   0.97739339    0.12282945
0.059399799   0.9773398    0.12326714
0.059522271   0.97728664    0.12370528
0.059644744   0.97723329    0.1241438
0.059767216   0.97717977    0.12458271
0.059889689   0.977126    0.12502205
0.060012162   0.97707224    0.12546179
0.060134634   0.97701883    0.12590191
0.060257107   0.97696507    0.12634249
0.06037958   0.97691107    0.12678339
0.060502052   0.97685748    0.12722471
0.060624525   0.97680336    0.12766641
0.060746998   0.97674996    0.12810849
0.060869474   0.97669578    0.12855098
0.060991947   0.97664195    0.12899384
0.061114419   0.97658819    0.12943707
0.061236892   0.97653413    0.12988071
0.061359368   0.97647989    0.13032471
0.061481841   0.97642595    0.13076907
0.061604314   0.97637188    0.1312138
0.061726786   0.9763177    0.13165891
0.061849259   0.97626305    0.13210435
0.061971731   0.9762094    0.13255018
0.062094204   0.9761548    0.13299638
0.062216677   0.97610027    0.13344291
0.062339149   0.97604591    0.13388984
0.062461622   0.97599143    0.13433708
0.062584095   0.97593671    0.13478465
0.062706567   0.97588265    0.13523261
0.06282904   0.97582763    0.1356809
0.062951513   0.9757725    0.13612956
0.063073985   0.97571868    0.1365785
0.063196458   0.97566372    0.13702783
0.063318931   0.9756093    0.13747747
0.063441411   0.97555399    0.13792746
0.063563883   0.97549933    0.13837774
0.063686356   0.97544497    0.13882837
0.063808829   0.97538942    0.13927937
0.063931301   0.97533482    0.13973062
0.064053774   0.97527975    0.14018223
0.064176247   0.97522485    0.14063412
0.064298719   0.9751693    0.14108635
0.064421192   0.97511446    0.14153892
0.064543664   0.97505915    0.14199178
0.064666137   0.97500366    0.14244492
0.06478861   0.97494835    0.14289835
0.064911082   0.97489351    0.14335217
0.065033555   0.97483796    0.14380619
0.065156028   0.97478294    0.14426057
0.0652785   0.97472674    0.1447152
0.065400973   0.97467124    0.14517018
0.065523446   0.97461569    0.1456254
0.065645918   0.97456014    0.14608088
0.065768391   0.97450453    0.14653674
0.065890864   0.97444898    0.1469928
0.066013336   0.97439325    0.14744915
0.066135809   0.97433794    0.14790581
0.066258281   0.97428226    0.14836273
0.066380754   0.97422618    0.14881991
0.066503227   0.97417009    0.14927739
0.066625699   0.97411406    0.14973512
0.066748172   0.97405815    0.15019307
0.066870652   0.97400224    0.15065135
0.066993125   0.97394598    0.15110986
0.067115597   0.97389019    0.15156862
0.06723807   0.97383362    0.15202764
0.067360543   0.97377777    0.15248692
0.067483015   0.97372127    0.15294643
0.067605488   0.97366482    0.1534062
0.067727961   0.97360867    0.15386622
0.067850433   0.97355294    0.15432645
0.067972906   0.97349608    0.15478697
0.068095379   0.9734394    0.15524767
0.068217851   0.97338295    0.15570866
0.068340324   0.97332674    0.15616986
0.068462797   0.97326952    0.15663129
0.068585269   0.9732126    0.15709291
0.068707742   0.97315669    0.15755484
0.068830214   0.97310001    0.15801695
0.068952687   0.97304344    0.15847923
0.06907516   0.97298646    0.15894176
0.069197632   0.97292954    0.15940446
0.069320105   0.97287261    0.1598675
0.069442578   0.97281569    0.16033068
0.06956505   0.97275877    0.160794
0.069687523   0.97270143    0.16125762
0.069809996   0.97264445    0.16172139
0.069932468   0.97258741    0.1621854
0.070054941   0.97253031    0.16264957
0.070177414   0.97247303    0.16311397
0.070299894   0.97241551    0.16357854
0.070422366   0.97235847    0.16404326
0.070544839   0.97230101    0.16450819
0.070667312   0.97224402    0.16497332
0.070789784   0.97218627    0.16543861
0.070912257   0.97212893    0.1659041
0.071034729   0.97207117    0.1663698
0.071157202   0.97201359    0.16683564
0.071279675   0.97195667    0.16730167
0.071402147   0.9718985    0.16776787
0.07152462   0.97184128    0.16823417
0.071647093   0.97178298    0.16870071
0.071769565   0.9717257    0.16916737
0.071892038   0.97166789    0.16963424
0.072014511   0.97161025    0.17010123
0.072136983   0.97155231    0.17056839
0.072259456   0.9714942    0.17103569
0.072381929   0.9714359    0.17150314
0.072504401   0.97137803    0.17197074
0.072626874   0.97132015    0.17243847
0.072749346   0.9712615    0.17290635
0.072871819   0.97120386    0.17337435
0.072994292   0.97114563    0.17384256
0.073116764   0.97108674    0.17431086
0.073239237   0.97102916    0.1747793
0.07336171   0.97097087    0.17524785
0.073484182   0.97091246    0.17571658
0.073606662   0.97085398    0.17618537
0.073729135   0.97079557    0.17665434
0.073851608   0.97073638    0.17712337
0.07397408   0.97067839    0.17759261
0.074096553   0.97061974    0.17806189
0.074219026   0.97056162    0.17853127
0.074341498   0.97050256    0.17900079
0.074463971   0.97044438    0.17947045
0.074586444   0.97038531    0.17994022
0.074708916   0.9703266    0.18041003
0.074831389   0.97026807    0.18088
0.074953862   0.97020882    0.18135002
0.075076334   0.97014982    0.18182015
0.075198807   0.97009116    0.18229038
0.075321279   0.97003245    0.18276073
0.075443752   0.96997297    0.1832311
0.075566225   0.96991432    0.18370168
0.075688697   0.96985495    0.18417221
0.07581117   0.9697957    0.18464291
0.075933643   0.96973628    0.18511364
0.076056115   0.96967715    0.18558452
0.076178588   0.96961778    0.18605535
0.076301061   0.96955848    0.1865264
0.076423533   0.96949893    0.1869974
0.076546006   0.96943957    0.18746854
0.076668479   0.96938056    0.18793969
0.076790951   0.96932119    0.18841095
0.076913424   0.96926165    0.18888223
0.077035904   0.96920186    0.18935366
0.077158377   0.96914232    0.18982506
0.077280849   0.96908224    0.19029653
0.077403322   0.96902329    0.19076805
0.077525795   0.96896309    0.19123955
0.077648267   0.96890348    0.19171117
0.07777074   0.9688434    0.1921829
0.077893212   0.96878397    0.19265456
0.078015685   0.96872425    0.19312632
0.078138158   0.96866393    0.19359809
0.07826063   0.96860409    0.19406992
0.078383103   0.96854371    0.19454172
0.078505576   0.96848381    0.19501363
0.078628048   0.96842378    0.19548558
0.078750521   0.968364    0.19595748
0.078872994   0.96830368    0.19642942
0.078995466   0.9682433    0.1969014
0.079117939   0.96818304    0.19737336
0.079240412   0.9681232    0.19784535
0.079362884   0.96806294    0.19831739
0.079485357   0.96800202    0.19878943
0.079607829   0.96794176    0.19926149
0.079730302   0.96788162    0.19973353
0.079852775   0.96782142    0.20020559
0.079975247   0.9677608    0.20067763
0.08009772   0.96770012    0.20114967
0.080220193   0.96763933    0.20162173
0.080342665   0.96757865    0.20209374
0.080465145   0.96751803    0.20256582
0.080587618   0.96745753    0.20303781
0.080710091   0.96739662    0.20350987
0.080832563   0.96733588    0.20398191
0.080955036   0.9672752    0.20445386
0.081077509   0.96721411    0.20492581
0.081199981   0.96715361    0.20539777
0.081322454   0.9670921    0.20586967
0.081444927   0.96703213    0.20634158
0.081567399   0.96697086    0.20681345
0.081689872   0.96690959    0.20728527
0.081812344   0.96684843    0.2077571
0.081934817   0.96678752    0.20822886
0.08205729   0.96672618    0.20870052
0.082179762   0.96666545    0.20917229
0.082302235   0.96660364    0.20964392
0.082424708   0.96654266    0.21011555
0.08254718   0.96648133    0.21058711
0.082669653   0.96642035    0.21105862
0.082792126   0.9663583    0.21153004
0.082914598   0.96629709    0.21200149
0.083037071   0.96623588    0.21247287
0.083159544   0.96617407    0.21294415
0.083282016   0.96611303    0.21341535
0.083404489   0.96605116    0.21388654
0.083526962   0.96598929    0.21435766
0.083649434   0.96592814    0.21482867
0.083771907   0.96586627    0.21529962
0.083894387   0.9658047    0.21577059
0.08401686   0.96574283    0.21624137
0.084139332   0.9656809    0.21671213
0.084261805   0.96561939    0.21718286
0.084384277   0.96555734    0.21765342
0.08450675   0.96549535    0.21812396
0.084629223   0.9654336    0.21859431
0.084751695   0.96537155    0.2190647
0.084874168   0.9653098    0.21953493
0.084996641   0.96524745    0.22000517
0.085119113   0.96518534    0.2204752
0.085241586   0.96512425    0.22094518
0.085364059   0.96506137    0.22141509
0.085486531   0.96499926    0.22188482
0.085609004   0.96493679    0.2223545
0.085731477   0.9648751    0.22282407
0.085853949   0.96481311    0.22329356
0.085976422   0.96475083    0.22376293
0.086098894   0.96468794    0.22423212
0.086221367   0.96462584    0.22470133
0.08634384   0.96456361    0.22517031
0.086466312   0.9645012    0.22563922
0.086588785   0.96443868    0.22610804
0.086711258   0.96437639    0.22657664
0.08683373   0.96431369    0.22704519
0.086956203   0.96425098    0.22751361
0.087078676   0.96418828    0.22798194
0.087201156   0.96412581    0.22845004
0.087323628   0.96406287    0.22891809
0.087446101   0.96400028    0.22938599
0.087568574   0.96393776    0.22985372
0.087691046   0.963875    0.2303213
0.087813519   0.96381247    0.23078883
0.087935992   0.96374911    0.2312561
0.088058464   0.96368629    0.23172334
